Calendar for billionplus2 only Earnings
April 2021
Date est,Date act,Time est,Time act,Symbol,Quarter,EPS est,EPS act,Status
4/1/21,4/1/21,Before Market,5:50:00 AM CDT,KMX,Q4,1.239,1.27,Verified
4/6/21,4/6/21,Before Market,5:00:00 AM CDT,GBX,Q2,-0.39,-0.28,Verified
4/6/21,4/6/21,Before Market,5:45:00 AM CDT,LNN,Q2,0.875,1.08,Verified
4/6/21,4/6/21,Before Market,7:00:00 AM CDT,MAGS,Q4,<empty>,-0.02,Verified
4/6/21,4/6/21,Before Market,7:30:00 AM CDT,PAYX,Q3,0.927,0.96,Verified
4/7/21,4/7/21,Before Market,5:30:00 AM CDT,MSM,Q2,1.014,1.03,Verified
4/7/21,4/7/21,Before Market,5:45:00 AM CDT,RPM,Q3,0.337,0.38,Verified
4/7/21,4/7/21,Before Market,6:00:00 AM CDT,SMPL,Q2,0.222,0.25,Verified
4/7/21,4/7/21,Before Market,7:30:00 AM CDT,LW,Q3,0.513,0.45,Verified
4/7/21,4/7/21,Before Market,8:15:00 AM CDT,CCL,Q1,-1.655,<empty>,Verified
4/7/21,4/7/21,Before Market,8:15:00 AM CDT,CUK,Q1,<empty>,<empty>,Verified
4/8/21,4/8/21,Before Market,6:30:00 AM CDT,CAG,Q3,0.576,0.59,Verified
4/8/21,4/8/21,Before Market,6:30:00 AM CDT,STZ,Q4,1.49,1.82,Verified
4/8/21,4/8/21,After Market,3:01:00 PM CDT,PSMT,Q2,<empty>,0.92,Verified
4/8/21,4/8/21,After Market,3:05:00 PM CDT,WDFC,Q2,1.315,1.24,Verified
4/8/21,4/8/21,After Market,3:10:00 PM CDT,LEVI,Q1,0.24,0.34,Verified
4/8/21,4/8/21,After Market,3:18:00 PM CDT,AFYA,Q4,<empty>,<empty>,Verified
4/9/21,4/9/21,Before Market,6:22:00 AM CDT,JKS,Q4,<empty>,<empty>,Verified
4/13/21,4/13/21,Before Market,5:50:00 AM CDT,FAST,Q1,0.368,0.37,Verified
4/13/21,4/13/21,After Market,3:01:00 PM CDT,NRIX,Q1,-0.427,-0.63,Verified
4/13/21,4/13/21,After Market,6:00:00 PM CDT,WAFD,Q2,0.485,0.56,Verified
4/14/21,4/14/21,Before Market,12:00:00 AM CDT,GS,Q1,9.787,18.6,Verified
4/14/21,4/14/21,Before Market,12:00:00 AM CDT,INFY,Q4,0.161,0.16,Verified
4/14/21,4/14/21,Before Market,5:45:00 AM CDT,JPM,Q1,3.046,4.5,Verified
4/14/21,4/14/21,Before Market,6:45:00 AM CDT,WFC,Q1,0.69,1.05,Verified
4/14/21,4/14/21,After Market,3:15:00 PM CDT,AGX,Q4,<empty>,0.6,Verified
4/14/21,4/14/21,After Market,4:37:00 PM CDT,PEP,Q1,1.119,1.24,Verified
4/15/21,4/15/21,Before Market,12:00:00 AM CDT,TSM,Q1,0.91,<empty>,Verified
4/15/21,4/15/21,Before Market,4:45:00 AM CDT,TFC,Q1,1.119,1.18,Verified
4/15/21,4/15/21,Before Market,4:55:00 AM CDT,UNH,Q1,4.423,5.31,Verified
4/15/21,4/15/21,Before Market,5:00:00 AM CDT,CBSH,Q1,0.964,1.11,Verified
4/15/21,4/15/21,Before Market,5:04:00 AM CDT,BAC,Q1,0.651,0.86,Verified
4/15/21,4/15/21,Before Market,5:16:00 AM CDT,BLK,Q1,7.636,7.77,Verified
4/15/21,4/15/21,Before Market,5:45:00 AM CDT,USB,Q1,0.947,1.45,Verified
4/15/21,4/15/21,Before Market,6:59:00 AM CDT,C,Q1,2.563,3.62,Verified
4/15/21,4/15/21,Before Market,7:15:00 AM CDT,HOMB,Q1,0.44,0.55,Verified
4/15/21,4/15/21,Before Market,7:15:00 AM CDT,PGR,Q1,1.78,2.51,Verified
4/15/21,4/15/21,Before Market,7:45:00 AM CDT,DAL,Q1,-3.005,-3.55,Verified
4/15/21,4/15/21,Before Market,7:45:00 AM CDT,SCHW,Q1,0.819,0.73,Verified
4/15/21,4/15/21,During Market,9:50:00 AM CDT,WABC,Q1,0.75,0.75,Verified
4/15/21,4/15/21,After Market,3:01:00 PM CDT,MRTN,Q1,0.2,0.22,Verified
4/15/21,4/15/21,Unspecified,3:05:00 PM CDT,JBHT,Q1,1.177,1.37,Verified
4/15/21,4/15/21,After Market,3:10:00 PM CDT,AA,Q1,0.475,0.79,Verified
4/15/21,4/15/21,After Market,3:12:00 PM CDT,WAL,Q1,1.458,1.9,Verified
