Symbol,ReleaseDate,ReleaseTime
CALM,12/28/2021,After Market
CTAS,12/22/2021,Before Market
KMX,12/22/2021,Before Market
MSM,12/22/2021,Before Market
PAYX,12/22/2021,Before Market
GIS,12/21/2021,Before Market
FDS,12/21/2021,Before Market
AIR,12/21/2021,After Market
EPAC,12/21/2021,Before Market
RCAT,12/20/2021,After Market
BRZE,12/20/2021,After Market
NKE,12/20/2021,After Market
CUK,12/20/2021,Before Market
CCL,12/20/2021,Before Market
MU,12/20/2021,After Market
DRI,12/17/2021,Before Market
WGO,12/17/2021,Before Market
JBL,12/16/2021,Before Market
ACN,12/16/2021,Before Market
WOR,12/16/2021,Before Market
ADBE,12/16/2021,Before Market
FDX,12/16/2021,After Market
RIVN,12/16/2021,After Market
BLBD,12/15/2021,After Market
TCOM,12/15/2021,After Market
HEI,12/15/2021,After Market
TTC,12/15/2021,Before Market
LEN,12/15/2021,After Market
NDSN,12/15/2021,After Market
HEI/A,12/15/2021,After Market
REVG,12/15/2021,Before Market
ABM,12/15/2021,Before Market
UEC,12/15/2021,After Market
PRM,12/14/2021,Before Market
CLSK,12/14/2021,After Market
PL,12/13/2021,After Market
ASO,12/10/2021,Before Market
HRL,12/9/2021,Before Market
CHWY,12/9/2021,After Market
AVGO,12/9/2021,After Market
CIEN,12/9/2021,Before Market
COST,12/9/2021,After Market
MTN,12/9/2021,After Market
FIZZ,12/9/2021,After Market
ORCL,12/9/2021,After Market
LULU,12/9/2021,After Market
UNFI,12/8/2021,Before Market
GME,12/8/2021,After Market
THO,12/8/2021,Before Market
FLNC,12/8/2021,After Market
AGX,12/8/2021,After Market
RH,12/8/2021,After Market
GEF,12/8/2021,After Market
PATH,12/8/2021,After Market
BF/A,12/8/2021,Before Market
BF/B,12/8/2021,Before Market
PLAB,12/8/2021,Before Market
CPB,12/8/2021,Before Market
KFY,12/8/2021,Before Market
TOL,12/7/2021,After Market
POWL,12/7/2021,After Market
CNM,12/7/2021,Before Market
AVAV,12/7/2021,After Market
