ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
AA,-3.79,16,11,-7.36,0.1,5.67,5.21
AAL,7.51,16,11,-5.1,1.17,5.24,5.36
AAPL,21.65,16,11,-2.27,0.95,4.32,3.96
ABCB,8.61,16,7,-1.38,0.1,3.17,2.52
ABT,-1.3,16,8,-3.16,0.28,3.16,3.06
ADP,-2.5,16,8,-3.31,0.0,3.16,3.17
AGYS,-20.72,16,9,-6.82,0.09,10.08,6.7
AIT,25.01,16,11,-1.6,0.74,5.82,4.62
AJG,-2.75,16,6,-2.07,0.08,2.41,2.14
ALGM,15.13,16,13,-7.96,0.0,7.52,7.29
ALK,-19.5,16,7,-4.5,0.2,3.49,2.73
ALLY,10.29,16,11,-4.54,0.1,6.18,4.67
ALV,-1.48,16,10,-5.25,0.15,5.59,6.64
AMAL,-6.32,16,7,-3.04,0.0,3.25,2.35
AMP,-9.29,16,7,-3.37,0.0,2.88,2.24
AON,-26.08,16,5,-3.73,0.09,3.09,1.75
AOS,2.99,16,8,-2.63,0.52,4.07,3.31
APD,-31.36,16,7,-5.82,0.26,3.37,1.9
APH,26.24,16,11,-1.35,0.06,5.29,5.03
APPF,-16.06,16,11,-9.81,0.14,10.42,7.64
ARCB,-16.54,16,10,-7.76,0.12,5.23,3.52
ARE,-21.16,16,4,-2.76,0.16,2.5,1.88
ASB,27.73,16,10,-0.38,0.41,4.96,3.83
ASH,-26.29,16,7,-5.25,0.2,4.13,1.89
ASML,-46.45,16,6,-6.45,0.51,3.54,2.04
ATGE,-13.88,16,13,-17.63,0.22,10.23,9.05
AUB,-27.98,16,5,-3.91,0.13,1.94,1.71
AVT,0.46,16,9,-3.79,0.05,4.29,3.11
AX,16.7,16,11,-3.26,0.65,6.22,4.78
AXP,11.07,15,9,-2.65,0.49,5.0,4.2
AXS,12.92,16,10,-2.85,0.32,3.6,3.82
BA,2.11,16,10,-4.65,0.52,4.38,4.31
BAH,-15.85,16,9,-6.12,0.05,5.12,4.55
BANC,9.91,15,10,-4.02,0.68,5.24,3.99
BANF,-1.56,16,7,-2.51,0.0,3.87,2.38
BANR,13.65,16,9,-1.91,0.0,3.41,3.91
BBU,25.39,16,10,-0.77,0.35,6.29,4.12
BC,8.77,16,10,-3.54,0.0,4.54,4.85
BEN,24.11,16,12,-2.97,0.64,4.83,4.4
BEP,14.46,16,9,-1.79,0.83,3.51,3.22
BEPC,13.39,16,9,-1.94,0.33,4.11,3.36
BFH,31.18,15,13,-3.91,2.18,5.81,5.56
BHE,-23.77,16,9,-7.25,0.0,5.88,4.78
BIP,16.01,16,7,-0.55,0.03,2.9,2.44
BIPC,10.41,16,7,-1.18,0.0,3.16,2.73
BKR,15.83,16,11,-3.43,0.46,4.5,3.88
BKU,-6.33,16,6,-2.43,0.27,3.01,1.92
BMI,-5.17,16,11,-7.63,0.11,6.39,6.27
BOH,13.9,15,9,-2.18,0.18,4.04,3.23
BPOP,14.72,16,10,-2.55,0.83,4.0,3.23
BR,15.91,16,11,-3.42,0.1,4.26,4.55
BRO,-16.26,15,7,-4.66,0.05,2.78,2.76
BSAC,0.03,16,2,-0.43,0.13,1.77,1.38
BUSE,-10.45,16,4,-1.87,0.0,2.75,2.45
BX,3.83,16,9,-3.31,0.74,4.02,4.22
BXP,-10.28,16,6,-2.83,0.06,2.54,2.2
BY,11.4,16,7,-1.07,0.34,3.53,1.84
CACC,-70.76,16,6,-8.88,0.0,4.28,1.15
CACI,20.8,16,12,-3.8,0.12,5.2,5.16
CADE,3.14,16,7,-1.98,0.28,3.26,2.79
CALX,-15.23,16,12,-12.81,0.22,9.28,8.45
CASH,-6.25,16,9,-4.75,0.42,4.69,5.13
CAT,3.68,16,9,-3.33,0.11,4.27,3.18
CATY,-7.75,16,5,-2.07,0.0,2.75,1.81
CBSH,-4.03,16,5,-1.73,0.02,2.33,2.03
CBU,-9.33,15,3,-1.53,0.0,1.71,1.07
CCB,10.36,16,8,-1.71,0.2,3.88,2.94
CCI,-15.25,16,3,-1.87,0.1,2.36,1.69
CCS,5.71,16,12,-7.57,0.0,5.51,5.13
CFG,17.73,16,10,-2.04,0.78,4.18,4.1
CFR,4.75,16,8,-2.41,0.54,4.09,3.14
CHCO,11.53,16,5,-0.32,0.21,2.19,1.65
CHD,-15.07,16,5,-2.73,0.01,2.47,1.66
CHRW,-15.12,16,10,-7.52,0.03,7.58,5.91
CHTR,-41.64,16,7,-6.96,0.2,5.3,2.67
CL,-8.38,16,5,-2.13,0.04,2.01,1.88
CLBK,-48.77,16,6,-6.68,0.0,2.93,1.63
CLS,40.3,16,15,-4.7,2.5,13.79,10.25
CMA,-21.27,16,7,-4.7,0.38,3.39,2.85
CMCSA,12.92,16,12,-5.77,0.9,5.17,4.48
CMPR,-14.2,16,9,-5.89,0.51,8.64,6.64
CNI,-19.0,16,4,-2.58,0.0,3.01,1.55
CNMD,-32.46,16,9,-8.49,0.04,5.76,4.92
CNOB,2.56,16,10,-4.57,0.0,3.76,3.75
CNS,-0.11,16,7,-2.35,0.01,3.16,2.78
CNX,15.32,16,12,-5.17,0.04,4.39,4.83
COF,15.16,16,10,-2.47,0.02,4.74,4.84
COLB,-11.05,16,8,-4.38,0.29,3.86,2.89
CP,15.51,16,7,-0.61,0.3,2.64,2.79
CR,29.27,14,11,-1.24,1.79,6.57,6.34
CRS,27.09,16,13,-3.97,0.46,8.86,7.2
CSW,0.25,2,1,-2.75,2.24,3.37,3.37
CSX,4.64,16,8,-2.42,0.04,3.19,2.82
CTBI,7.36,16,6,-1.06,0.12,1.97,1.81
CUBI,-5.25,15,10,-7.05,0.21,7.5,6.99
CURB,1.88,4,2,-2.06,1.16,2.9,2.68
CVBF,11.06,16,7,-1.1,0.16,2.94,2.57
CVCO,26.14,16,13,-4.29,0.06,6.48,6.13
CVLT,17.81,16,12,-4.55,0.01,8.51,5.75
CVX,-11.57,16,4,-1.96,0.14,2.25,1.61
DAN,-36.62,16,9,-9.09,0.07,5.18,3.58
DB,-5.48,16,8,-3.69,0.05,4.01,3.39
DCOM,-6.14,16,9,-4.73,0.14,4.36,4.16
DECK,29.12,16,13,-3.29,0.28,9.9,8.19
DHI,19.66,16,13,-6.45,0.34,5.92,5.52
DHR,4.8,16,10,-4.2,0.13,4.76,3.59
