ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
AAPL,12.21,15,10,-3.56,0.05,4.05,3.66
AIT,-7.49,16,6,-2.55,0.0,2.49,1.86
ALGM,3.17,5,4,-8.83,1.14,6.97,8.54
APH,7.36,16,8,-2.08,0.1,3.08,2.8
ASB,6.26,16,4,-0.48,0.08,2.85,2.1
AX,3.77,13,9,-5.81,0.0,5.6,5.08
BBU,20.87,16,9,-0.88,0.0,3.42,3.36
BEN,-10.42,16,7,-3.49,0.01,3.14,2.07
BKR,11.82,9,6,-2.06,0.88,3.99,3.7
BPOP,19.82,16,11,-2.64,0.07,4.53,3.77
BR,-23.59,16,5,-3.51,0.01,2.87,2.37
CACI,20.52,16,9,-0.93,0.6,4.26,3.92
CFG,21.79,16,9,-0.74,1.65,4.97,3.88
CLS,-47.05,15,7,-8.51,0.23,5.84,2.02
CNX,17.19,16,12,-4.7,0.56,7.13,4.16
COF,12.66,16,10,-2.89,0.33,4.04,3.89
CR,9.26,15,10,-4.15,0.24,4.16,4.01
CRS,2.2,16,10,-4.63,0.16,3.79,4.7
CVCO,-5.73,16,12,-10.43,0.75,7.94,5.92
CVLT,-49.8,16,8,-9.22,0.18,4.63,3.31
DECK,28.35,16,14,-6.83,0.98,7.95,7.12
DHI,23.31,16,12,-3.17,0.5,5.52,5.05
DLX,-13.72,16,9,-5.82,0.0,4.83,3.89
DT,8.85,10,7,-4.05,0.93,8.1,5.02
EWBC,15.56,16,9,-1.63,0.31,4.19,3.73
FAST,-18.95,16,6,-3.69,0.11,4.31,2.07
FFBC,10.0,16,10,-3.33,0.0,4.03,4.15
FICO,12.64,16,10,-2.89,0.05,4.08,3.76
GE,13.08,15,11,-4.98,1.68,7.61,6.18
GLW,-12.21,15,7,-4.15,0.27,3.82,2.68
GM,19.28,16,12,-4.18,0.77,4.6,4.24
IMO,-16.78,16,5,-2.89,0.07,2.67,2.35
INDB,7.03,16,5,-0.72,0.07,3.1,2.55
JHG,-27.73,15,4,-3.61,0.06,3.17,2.51
KLAC,4.39,16,8,-2.45,0.69,5.77,4.29
LAZ,16.95,16,10,-2.17,0.72,4.21,4.18
LBRT,-18.84,16,9,-6.55,0.35,7.86,3.33
LOGI,-21.44,12,6,-6.57,0.06,4.96,2.77
LRCX,8.26,16,9,-2.68,0.05,5.3,4.57
LVS,0.66,16,7,-2.26,0.02,3.55,2.62
MMM,-25.48,15,6,-4.83,0.11,2.22,1.37
MMYT,2.86,16,12,-8.28,0.8,7.46,5.81
NOW,27.68,16,13,-3.77,0.36,6.75,5.72
NRIX,1.75,5,2,-1.42,0.24,5.73,1.69
NTCT,-12.04,15,5,-2.7,0.49,4.75,2.13
NUE,2.09,16,5,-1.17,0.26,2.39,2.07
OSIS,-3.89,16,9,-4.41,0.01,4.94,4.53
PH,7.47,16,9,-2.79,0.15,3.46,4.29
PHM,10.93,15,9,-2.68,0.01,4.4,3.96
SF,2.89,16,7,-2.01,0.01,3.18,2.54
SOFI,-1.02,2,1,-13.38,3.97,13.36,13.36
STLD,17.0,16,9,-1.43,0.04,3.92,3.23
SYF,4.87,16,10,-4.19,0.3,3.92,3.7
TT,2.57,7,3,-1.61,0.22,3.48,2.72
UAL,7.26,16,10,-3.79,0.43,4.33,3.98
URI,-12.13,16,8,-4.52,0.06,4.46,3.32
WAL,31.29,16,12,-1.18,1.13,5.84,5.71
WBS,2.77,15,8,-3.03,0.06,3.73,3.1
WDC,-50.63,16,8,-9.33,0.35,5.09,3.14
