ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
AB,3.47,16,5,-1.05,0.19,2.55,1.62
ACGL,21.22,15,9,-0.96,0.16,3.67,4.35
ACM,1.04,16,7,-2.22,0.06,2.83,2.73
AER,32.05,16,11,-0.19,0.07,5.41,4.45
AFRM,2.31,4,3,-6.69,2.77,19.46,18.25
AIZ,11.14,16,7,-1.1,0.07,3.67,2.6
ALKS,14.89,16,12,-5.28,0.09,5.54,5.26
ATEN,-5.72,15,10,-7.14,0.08,9.54,5.6
AZN,11.21,16,8,-1.6,0.44,3.68,3.07
BSX,19.78,16,8,-0.53,0.9,3.38,3.1
BTU,-18.42,16,8,-5.3,0.41,6.94,3.06
CAH,-8.95,16,11,-8.39,0.0,5.78,4.85
CHEF,-25.69,16,8,-6.21,0.54,7.91,3.11
CLSK,-5.92,4,3,-14.92,0.87,6.63,4.19
CMRE,8.33,16,12,-6.92,0.82,6.88,6.76
CRUS,-12.29,15,10,-8.46,0.0,6.99,4.22
CX,-13.37,16,6,-3.14,0.07,3.71,2.61
DD,-3.49,10,4,-2.58,0.36,3.29,2.69
DHT,10.08,16,9,-2.42,0.29,4.12,3.12
EHC,-7.3,16,8,-3.91,0.0,3.42,2.87
ENSG,22.71,15,12,-4.43,0.04,7.91,7.61
EZPW,-19.21,15,10,-9.84,0.14,7.71,6.31
FLEX,-28.94,16,12,-16.24,0.06,9.52,10.91
FOX,15.87,16,9,-1.59,0.23,3.79,3.39
FOXA,15.41,16,9,-1.66,0.17,4.06,4.52
HOG,-4.96,15,10,-6.99,0.49,6.96,5.13
HYMC,5.3,5,4,-6.7,2.8,6.63,4.79
IDCC,-14.72,16,5,-2.7,0.0,2.6,1.9
INTA,13.11,2,1,3.53,6.3,10.58,10.58
MAS,4.79,16,9,-3.17,0.0,3.89,3.73
MLI,-3.84,15,9,-5.14,0.39,5.79,5.06
MNDY,-5.46,2,1,-19.49,3.34,15.03,15.03
MOD,-49.74,16,11,-16.55,0.09,11.72,5.54
MTSI,-29.89,15,9,-9.48,0.19,10.5,6.73
NMIH,-10.72,15,9,-6.29,0.0,6.38,4.11
OSCR,-17.38,3,2,-23.38,2.2,8.26,6.47
PATK,13.03,16,11,-3.99,0.09,6.9,7.61
PIPR,-4.95,8,3,-2.79,0.61,2.64,1.79
PLTR,12.93,5,4,-9.51,4.47,9.29,9.58
PNR,13.89,15,9,-2.18,0.46,3.57,3.77
POST,1.7,16,9,-3.61,0.03,4.69,3.54
POWL,15.09,16,11,-3.58,0.06,9.03,7.78
PYPL,-1.5,16,8,-3.19,0.29,4.94,3.61
RL,2.59,16,11,-6.08,0.21,6.8,6.91
SIMO,19.03,16,12,-4.24,0.05,7.1,6.43
SONY,-0.36,3,1,-1.68,1.95,3.0,2.94
SPB,-33.18,16,10,-10.53,0.0,6.52,5.81
SSD,-1.16,15,8,-3.59,0.18,6.18,3.63
STEP,13.51,5,4,1.51,2.67,5.08,4.63
TSEM,-38.81,16,10,-11.47,0.18,5.08,4.66
TWST,-7.27,13,10,-12.42,0.0,6.33,5.9
UBER,3.7,11,8,-6.77,0.55,5.71,4.51
VCTR,32.04,16,13,-2.32,0.5,7.26,5.45
WELL,12.01,15,8,-1.71,0.31,3.7,3.18
WFRD,0.91,2,1,-2.09,1.24,6.86,6.86
XPO,-2.22,16,9,-4.17,0.03,4.59,3.42
Z,-26.03,16,11,-11.81,0.65,11.07,9.72
ZG,-55.17,16,10,-14.2,0.57,10.82,8.98
