ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
AAP,-25.14,16,12,-15.28,0.82,9.69,5.91
AAT,4.45,16,8,-2.44,0.22,2.89,3.18
AB,32.55,16,10,0.43,1.15,3.53,3.52
ABBV,-6.6,16,9,-4.8,0.08,3.75,3.22
ABG,-19.17,16,7,-4.46,0.14,4.78,2.82
ACGL,17.14,16,10,-2.14,0.38,2.98,3.06
ACLS,9.05,16,13,-9.98,0.04,6.85,5.84
ACM,14.89,16,10,-2.52,0.06,3.75,3.62
ACT,-1.6,16,7,-2.51,0.38,3.79,2.32
ADC,-0.53,16,3,-0.73,0.01,1.87,2.3
ADM,-1.7,15,6,-2.19,0.03,2.96,2.15
ADNT,-36.97,16,7,-6.44,0.13,4.64,2.34
ADPT,-16.41,16,13,-18.47,0.0,10.81,7.85
AER,21.89,16,12,-3.53,1.5,4.8,4.54
AFG,0.87,16,9,-3.73,0.1,3.07,3.39
AFL,-8.06,16,7,-3.23,0.24,3.44,2.72
AFRM,25.9,16,15,-19.1,1.0,16.97,12.62
AGCO,-1.39,16,9,-4.06,0.27,5.31,3.96
AIG,14.86,16,7,-0.68,0.0,3.39,2.83
AIZ,16.36,16,10,-2.27,0.03,5.43,4.18
AKR,20.06,16,9,-0.99,0.15,3.52,3.62
ALAB,13.02,7,4,-8.22,6.02,17.64,10.42
ALGN,-71.54,16,10,-16.92,0.23,9.1,7.5
ALGT,-15.98,16,9,-6.14,0.12,6.63,4.09
ALKS,23.57,16,13,-5.14,0.0,8.61,8.78
ALL,20.52,16,9,-0.93,0.0,3.4,3.61
AMCR,-19.21,16,7,-4.47,0.1,3.41,2.24
AMD,-5.0,16,10,-5.83,0.56,6.22,6.26
AME,8.37,16,9,-2.66,0.02,3.93,3.23
AMG,-2.88,16,8,-3.36,0.22,4.51,3.06
AMGN,-15.58,16,5,-2.78,0.0,3.85,1.9
AMKR,2.56,16,11,-6.09,0.64,6.69,4.37
AMSC,-37.37,16,12,-18.34,0.24,15.88,12.42
AMTM,7.3,5,4,-4.7,0.92,9.72,6.09
AMX,12.1,16,6,-0.59,0.09,2.38,2.22
AMZN,9.79,16,12,-6.55,0.35,7.2,7.08
AN,7.83,16,10,-3.7,0.01,5.06,4.09
APAM,-5.91,16,8,-3.74,0.03,2.8,2.98
APO,9.97,16,11,-4.61,0.09,5.08,4.89
APTV,-29.11,16,9,-8.02,0.07,4.64,4.35
ARCC,-1.62,16,3,-0.82,0.36,2.34,2.09
ARES,4.09,16,8,-2.49,0.18,3.56,2.86
ARLP,-9.33,16,8,-4.17,0.23,4.2,3.41
ARM,-9.1,9,5,-6.02,1.11,10.93,3.99
ARMK,-3.99,16,9,-4.43,0.18,4.31,3.88
ARW,-21.68,16,8,-5.71,0.05,3.47,3.17
ARWR,-42.6,16,7,-7.07,0.23,7.86,2.4
ASGN,-37.52,16,6,-5.55,0.13,3.92,1.41
ASX,9.89,16,8,-1.76,1.12,3.82,3.08
ATEN,30.96,16,13,-2.68,0.5,7.37,6.09
ATI,-3.0,16,12,-9.75,0.25,9.13,9.27
ATKR,-64.9,16,9,-13.13,0.01,6.56,4.3
ATO,19.42,16,6,0.14,0.43,3.08,2.76
ATR,11.22,16,10,-3.13,0.88,3.86,3.63
AVB,0.3,16,4,-0.97,0.0,1.8,1.33
AVTR,-22.04,16,10,-8.67,0.2,4.91,3.2
AVY,-9.64,16,6,-2.76,0.04,3.23,1.58
AXTA,1.11,16,9,-3.7,0.02,4.6,3.52
AZN,25.46,16,11,-1.51,1.1,4.24,4.0
AZTA,-45.52,16,9,-10.36,0.0,8.73,4.35
B,2.01,16,2,-0.29,0.15,1.9,1.18
BALL,-8.96,14,8,-5.49,0.33,5.08,4.88
BAM,6.54,16,6,-1.15,0.1,3.91,2.41
BBVA,18.78,16,8,-0.65,0.15,3.45,2.48
BCE,9.48,16,6,-0.85,0.1,2.32,1.34
BCH,2.07,10,1,-0.1,0.18,1.65,1.55
BCS,-18.55,16,8,-5.32,0.07,3.75,2.63
BDC,-0.06,16,9,-3.87,0.04,5.36,5.33
BDX,-19.0,16,7,-4.44,0.07,2.83,2.1
BG,3.74,16,10,-4.38,0.56,4.15,4.85
BIIB,-13.38,16,7,-3.82,0.17,3.26,2.28
BILL,-37.85,16,13,-25.62,0.72,12.67,9.4
BKH,-9.7,16,3,-1.44,0.0,1.78,1.31
BL,-20.23,16,10,-8.37,0.06,6.06,5.05
BLBD,6.6,16,12,-7.35,0.08,15.5,9.96
BLSH,10.02,2,1,-3.57,5.56,14.6,14.6
BMY,4.64,16,7,-1.82,0.18,3.18,2.5
BOOT,-28.63,16,10,-9.77,0.32,7.85,7.22
BP,-5.12,16,6,-2.31,0.04,3.03,1.87
BRBR,-4.79,16,10,-5.8,0.11,6.14,4.04
BRX,16.03,16,8,-1.0,0.13,2.98,3.14
BSX,36.87,16,13,-0.71,1.88,5.04,4.79
BTU,23.92,16,13,-5.03,0.09,8.15,7.95
BV,-61.61,16,6,-7.96,0.11,4.06,1.58
BWA,-3.04,16,11,-7.21,0.16,4.85,4.42
BXMT,0.88,16,9,-3.73,0.01,3.53,3.5
BYD,-3.24,16,11,-7.25,0.29,4.56,4.08
CAH,14.92,16,11,-3.62,0.78,5.45,4.09
CAMT,4.7,16,10,-4.22,0.24,5.2,3.52
CARR,-7.45,16,8,-3.93,0.03,4.63,2.88
CB,4.39,16,8,-2.45,0.39,2.97,2.9
